0	869	True
1	326	True
1	597	True
1	669	True
1	794	True
1	2206	True
1	2886	True
2	17	True
2	711	True
2	1559	True
2	2038	True
2	2089	True
2	2906	True
2	2928	True
3	451	True
3	929	True
4	626	True
4	773	True
5	442	True
5	445	True
5	641	True
5	686	True
5	857	True
5	930	True
5	2302	True
6	2089	True
6	2507	True
6	2685	True
6	3074	True
7	14	True
7	598	True
7	678	True
7	714	True
7	715	True
7	770	True
7	798	True
7	869	True
7	896	True
7	897	True
8	560	True
8	904	True
9	1195	True
10	183	True
10	200	True
10	353	True
10	553	True
10	719	True
10	734	True
11	171	True
11	1641	True
11	2187	True
11	2200	True
11	2216	True
11	2276	True
11	2297	True
11	2531	True
11	3058	True
11	3257	True
12	38	True
13	748	True
14	7	True
14	714	True
15	169	True
15	3018	True
16	1911	True
17	2	True
17	711	True
17	1541	True
17	1551	True
17	1559	True
17	2038	True
17	2906	True
17	2928	True
18	2494	True
18	2520	True
19	847	True
20	839	True
20	1199	True
21	598	True
21	829	True
22	1344	True
22	2088	True
22	2510	True
23	1169	True
24	600	True
24	862	True
24	1558	True
25	201	True
25	527	True
25	781	True
26	501	True
26	801	True
26	1191	True
26	1339	True
26	1549	True
27	359	True
27	2676	True
28	366	True
28	1190	True
29	1547	True
30	326	True
30	597	True
30	669	True
30	794	True
30	2206	True
30	2886	True
31	97	True
31	499	True
31	839	True
31	958	True
31	1283	True
31	1685	True
31	2245	True
31	2317	True
31	2345	True
31	2365	True
31	2624	True
31	2918	True
32	1974	True
33	169	True
33	676	True
33	749	True
33	754	True
33	797	True
33	811	True
33	887	True
33	898	True
33	931	True
33	1195	True
33	3258	True
34	3071	True
35	195	True
35	198	True
35	847	True
35	891	True
35	1351	True
35	1473	True
35	2038	True
35	2133	True
35	2208	True
35	2507	True
35	2958	True
35	3086	True
36	183	True
36	200	True
36	353	True
36	553	True
36	719	True
36	734	True
37	869	True
38	12	True
38	836	True
39	43	True
39	171	True
39	1641	True
39	2187	True
39	2200	True
39	2216	True
39	2276	True
39	2297	True
39	2447	True
39	2531	True
39	3058	True
39	3257	True
40	734	True
41	794	True
42	443	True
42	886	True
43	39	True
43	171	True
43	2216	True
44	2031	True
44	2669	True
45	1873	True
45	2576	True
46	2578	True
47	1599	True
48	1268	True
48	2091	True
49	3005	True
50	78	True
51	1376	True
